[2025-09-04 19:43:34,085: INFO: main: welcome to our custom log ]
[2025-09-05 08:35:13,236: INFO: main: welcome to our custom log ]
[2025-09-05 10:16:33,371: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 10:16:33,382: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 10:19:22,277: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 10:19:22,279: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 10:21:53,153: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 10:21:53,154: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 10:22:34,843: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 10:22:34,844: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 10:24:08,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 10:24:08,776: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 10:24:08,780: INFO: common: created directory at: artifacts]
[2025-09-05 10:24:08,781: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-05 10:24:08,781: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1t6ofcIBrjZ_dLn9tmkVqP0nAK5L0uPOi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-05 10:24:31,322: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1t6ofcIBrjZ_dLn9tmkVqP0nAK5L0uPOi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-05 12:40:46,034: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 12:40:46,050: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 12:40:46,053: INFO: common: created directory at: artifacts]
[2025-09-05 12:40:46,058: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-05 12:40:46,060: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1WF5obj5GFIXoCa7WYY5J12oV7PeivOh6/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-05 12:41:09,208: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1WF5obj5GFIXoCa7WYY5J12oV7PeivOh6/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-05 13:37:48,002: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-09-05 13:37:48,002: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-05 13:37:48,002: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-05 13:37:48,002: INFO: common: created directory at: artifacts]
[2025-09-05 13:37:48,002: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-05 13:37:48,002: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1WF5obj5GFIXoCa7WYY5J12oV7PeivOh6/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-05 13:38:18,507: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1WF5obj5GFIXoCa7WYY5J12oV7PeivOh6/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-09-05 13:38:31,065: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
